地域名,国名,課題タイトル,課題概要,参考ソース
北米,ハワイ（アメリカ）,生成系AIによる米国選挙への影響,生成系AIの出現により、米国の選挙管理者は選挙への悪用に対処するという新たな課題に直面している。23年春ごろにはAIが生成したディープフェイク情報の拡散も顕在化。,https://apnews.com/article/ai-2023-artificial-intelligence-chatgpt-dangers-565ff5b817b5db0d4e74829ae3d68611
北米,ハワイ（アメリカ）,FEDの利上げによる中小企業への影響,米国のFEDは2023年インフレ対策と称した利上げを行った。特に資金調達に苦しむ中小企業が資産流動化やビジネス縮小に追い込まれ、資金繰りと成長維持が大きな課題となっている。,https://www.uschamber.com/small-business/the-biggest-challenges-small-businesses-are-facing-right-now-2 https://www.minneapolisfed.org/article/2023/rising-interest-rates-create-more-challenges-for-businesses
北米,カナダ,自家用車の価格高騰,"
新車・中古車購入者は、コロナ後の車の価格高騰と納車遅延に直面し、車の故障時にも高価格のため修理以外の選択肢が限られる状況にある。",https://www.cbc.ca/news/canada/calgary/alberta-cars-expensive-how-people-are-coping-1.7057068
北米,カナダ,カナダ: 公立学校におけるLGBT教育とムスリム移民の摩擦。,ムスリム移民による親権デモが東部で活発化。子弟に対し公立学校においてLGBTQ等の性教育を実施することに宗教上の価値観から反対。カウンターデモとの軋轢より社会の分断を生んでいる。,https://www.cbc.ca/news/canada/new-brunswick/what-makes-a-good-canadian-a-muslim-parental-rights-marcher-speaks-out-1.7067281
北米,カナダ,カナダ: 留学生の定住促進による経済の活性化,スタートアップを通じた経済活性化を図る為、優秀な留学生の定住政策を取っているが、留学生にとって十分な施策は取られていない。代表的な例では「公認移民コンサルタントの評価が不透明」などがある。,https://mangovisa.com/
北米,カナダ,電力不足で輪番停電の危機,1月の初め、アルバータ州に大寒波が到来した。アルバータ州の家庭は、厳しい気象条件と発電所の計画外停止による電力不足に直面し、輪番停電の危機が迫っている。大寒波による電力需要増加と発電所の供給力低下が要因であり、住民には電力の使用抑制が呼びかけられている,https://edmonton.ctvnews.ca/grid-alert-issued-as-alberta-sets-record-for-power-consumption-1.6724063
北米,カナダ,技能士の不足,カルガリーでは、さまざまなスキルをもった技能士が不足している。雇用を求める人は多くいるが、企業側が求めるスキルを持ち合わせていない場合がおおい。とくに若者は、建設関連の技能士に関心がなく、技能の継承が難しい状況である。,https://globalnews.ca/news/10207624/calgary-employment-situation-job-numbers-stall/
北米,カナダ,かかりつけ医の不足,アルバータ州では、かかりつけ医の減少が深刻な問題となっている。新規患者を受け入れている町医者の数が、直近3年で、80%程度減少した。大量の人口がアルバータ州に流入するなかで、新規医者の数が追いついていない。これはカナダにおける医療制度そのものが崩壊しつつあることを、意味している。,https://www.cbc.ca/news/canada/calgary/family-doctors-declining-availability-website-1.6983392
中南米,コロンビア,先住民族ワジューの手編みバッグの低収益性,南米コロンビアの北東部、カリブ海に面し、ベネズエラと国境を接するところにあるラ・グアヒラ県の先住民族ワジュー。伝統的な生業としては、農業・漁業・牧畜が主だったが近年の気候変動の影響や経済活動の変化もあり、今では都市部で生活する人びとも多く、賃金労働や観光業（ツアーガイドや宿泊所経営）の従事者もいます。また女性たちが編む手工芸品（ワジューバッグやモチーラと呼ばれる）が、土産物やファッションアイテムとして注目されつつあるが、手工芸品を取り扱う中間業者の中には、不当に安い値段で買い取るところもある。また、ワジュー女性の中にはかかった労働時間や糸などの原価を基に販売価格を決めていない人もいて、中間業者や観光客の言い値で売ってしまうがために、売れども売れども赤字となっていることもあるのが問題となっている。,https://aaluna.co/ja/our-people-2/
中南米,コロンビア,最高級コーヒー豆、利益は1杯2円以下,コロンビア西部の緑豊かな山岳地帯では最高級のコーヒー豆が栽培されているが、地元の生産者は不公正な価格にいら立ちを募らせている。業界に打撃を与える値崩れが起きているのは、市場最安値にまで価格を押し下げている投機家のせいだと農家は非難する。またエルニーニョ現象の影響で降水量が減り、コーヒーの生産量や質に悪影響をもたらすことから、ダブルパンチを受けており年々コーヒー農家の数が減っている。,https://www.afpbb.com/articles/-/3227759
中南米,コロンビア,世界ワースト4位の渋滞都市コロンビア首都ボゴタ,"ボゴタの人々は日々の通勤、移動に時間の 55% 以上を費やしている。これまでインフラ工事や道路網の改善などの複数の要因によって崩壊している首都の移動状況を改善しようとした。また月曜～金曜日において、ナンバープレート末尾が1～5の車両は偶数日、6～0の車両は奇数日に、午前6時から午後9時まで走行できなくなる。違反者には52万2,900ペソ（約1万5,687円、1ペソ＝約0.03円）の罰金が科されるだけでなく、車両は交通局管轄の指定場所へ牽引されるなど厳しい決まりを設けているが市民たちは猛抗議を行い両社の間で改善されない溝が長年続いている。",https://www.jetro.go.jp/biznews/2023/01/cff2f816a81155e6.html
中南米,パナマ,パナマ運河が水不足により通行制限,現地の貿易業界は、厳しい乾季の影響でパナマ運河の湖面が低下し、大型船の通行が困難になる問題に直面しています。これにより、米国向けの輸出入が遅延し、貿易活動に大きな障害が生じています。,https://www3.nhk.or.jp/news/html/20231102/k10014245241000.html
中南米,パナマ,道路が穴だらけで交通渋滞,パナマ市のドライバーは、過去20年間で増加した車両数による交通渋滞に悩まされています。政府の一方通行対策にもかかわらず、道路の穴が原因で交通の流れが滞り、事故やさらなる渋滞のリスクが高まっています。,https://www.telemetro.com/nacionales/movimiento-panama-huecos-sigue-reparando-las-calles-n5908629
中南米,パナマ,中米のカカオ危機,中米のカカオ農園経営者は、湿度の高い熱帯雨林で農薬を使わずに栽培することで生産性が低下し、持続不可能な農園がカカオ木を伐採して別の作物に転換しているため、カカオ危機に直面しています。これは地域固有のカカオ品種の減少、世界のチョコレート価格の高騰、生産関連者の失業など、チョコレート市場に大きな影響を与える可能性があります。,https://cadenacacaoca.info/CDOC-Deployment/documentos/OfertaMundial_Tecnol_Cacao.pdf
中南米,ブラジル,ファベーラ（貧民街）のインフラ整備が進まない,ファベーラ（貧民街）住民は、インフラ整備が進まず貧困・衛生・エネルギー・犯罪などの劣悪な生活環境課題が続いている。,https://habitability.com.br/energia-solar-bairro-do-interior-de-sp-sera-1o-autossustentavel-da-america-latina/
中南米,ブラジル,奴隷貿易時代から続く深刻な人権問題,ブラジルの黒人コミュニティは奴隷貿易時代から続く深刻な人権問題に直面し、加えて環境破壊の影響も受けており、これらの課題に対する意識と解決策を見出すための支援が求められている。,https://www.cafequilombo.com.br/nosso-quilombo
ヨーロッパ,イギリス,後継者問題に悩む英国の伝統工芸,イギリスのナローボート造船業を含む伝統工芸従事者が、ブレグジットとエネルギーコストの上昇で労働者不足と採算問題に直面し、廃業や後継者不足により絶滅の危機に立たされている。,https://www.theguardian.com/culture/2023/may/11/hedging-boat-building-brexit-covid-british-crafts-at-risk
ヨーロッパ,イギリス,住宅建設に関わる職業従事者の不足問題,イギリスの住宅建設職人、特に屋根瓦やレンガ、プラスター職人、大工がブレグジットと移民制限の影響でヨーロッパからの職人不足に直面し、労働力の枯渇が始まっている。,https://roofingtoday.co.uk/roofers-added-to-uk-shortage-occupation-list/
ヨーロッパ,イギリス,デジタルデザインの人員不足による外注ビジネスの需要増,コロナウイルスのロックダウン後、イギリスのウェブデザイン会社は人手不足と締め切りの圧力に対応するため、時差を利用して24時間稼働できる海外会社に業務を外注する必要が出てきた。,https://www.netmatters.co.uk/is-the-uk-experiencing-a-digital-skills-shortage
ヨーロッパ,イギリス,犬の一日ケア,ロックダウン以降イギリスでは子犬を飼う人の数が増加した。多くの会社が出社を義務付けるようになったことで、室内飼いの犬を通勤日に預ける必要がある人が増加し、犬の1日ケア会社の需要が高まっている。,https://www.bbc.co.uk/news/uk-england-nottinghamshire-58280724
ヨーロッパ,イギリス,ヒートポンプ施工職人の不足,2022年5月よりイギリス政府はボイラーアップグレードスキームと称しヒートポンプを導入する家庭に援助金支払ってきた。その影響でヒートポンプ需要が増し、ヒートポンプ施工職人不足が浮き彫りになっている。,"https://www.gov.uk/government/news/heat-pump-applications-surge-after-increase-in-government-grant#:~:text=The%20number%20of%20new%20applications%20to%20the%20government%27s%20Boiler%20Upgrade,than%20the%20previous%20weekly%20average."
ヨーロッパ,イギリス,倫理的なビジネスの需要の高まり,2023年のイギリスでは、消費者が経済的不況の中でもフェアトレードやエコ商品への需要を高めており、事業者はこの持続可能性への高まる関心にどう対応するかが課題となっている。,"https://www.manchester.ac.uk/discover/news/study-show-how-ethical-brands-fare-in-a-recession/#:~:text=The%20research%20has%20demonstrated%20that,a%20major%20UK%20supermarket%20chain."
ヨーロッパ,イタリア,急増する心理カウンセリングの需要と療法士の不足および料金高騰,パンデミック後、イタリアでは特に高齢者や障害者の間でカウンセリングを必要とする人が急増しています。しかし、公的機関では心理療法士が不足し、高額な治療費が課題となっており、必要とする高齢者や障害者の4分の1が経済的な理由でカウンセリングを受けられていない状況,https://www.sullorlodellapsicologia.it/emendamento-bonus-psicologo-un-italiano-su-quattro-non-ha-soldi/
ヨーロッパ,イタリア,地中海に流出する海洋プラスチック,年間合計229千トンにのぼる地中海へのプラスチック流出量が最も多い10都市のうち、ローマ、ミラノ、トリノ、パレルモ、ジェノバの5都市がイタリア。環境が破壊され脆弱な海洋生態系が深刻な脅威を受けている。,https://www.rainews.it/articoli/2022/02/plastica-wwf-roma-la-citt-pi-inquinante-del-mediterraneo--7e1d8103-4826-4530-8f24-d2182d51531a.html
ヨーロッパ,イタリア,フェミサイドにより両親を失った子供達の保護とケア,イタリアでは毎年約250人の子供がフェミサイドにより母親を殺され、犯罪者となった父親の保護を受けられず「特別孤児」となっている。当面の心理的経済的な支援や、その後の家庭内暴力の連鎖予防にも投資が必要。,https://www.vaticannews.va/it/mondo/news/2022-02/minori-vittime-femminicidio-genitore-societa-civile.html
ヨーロッパ,イタリア,特異的学習障害を持つ児童が10年間で3倍に増加,イタリアの教育関係者や保護者は、ADHD、自閉症、難読症等の障害を持つ児童の認定数が過去10年で39.9％増加し、精神医学的診断の急増による過剰認定の懸念と、これらの児童に対する適切なケアや支援の提供が急務な課題に直面している。,https://www.orizzontescuola.it/boom-di-alunni-con-dsa-numeri-triplicati-negli-ultimi-10-anni-lesperto-non-e-nuova-pandemia-ma-maggiore-sensibilita-verso-il-problema/
ヨーロッパ,オランダ,オランダの住宅不足問題,以前から問題になっていた住宅不足問題は現在オランダ全土で約39万戸まで及んでいる。 問題としては、オランダの人口増加が市場問題に拍車をかける。オランダは欧州の中でも移民問 題を寛大に取り組んでいる背景がありシリア難民、ロシアのウクライナ侵攻をきっかけとした移 民の急増が原因あり、住宅数が足りていない。また、住宅価格(賃貸含む)の高騰により若い世 帯が購入・賃貸が難しい状況。さらに、世界的な金融緩和により住宅ローンは高止まりをしてい るため、住宅市場の鈍化、購買意欲を低下につながっている。,"https://www.capitalvalue.nl/en/news/housing-shortage-in-the-netherlands-will-increase-for-at- least-three-years-to-316000-homes-in-2024 https://www.iamexpat.nl/housing/real-estate-news/netherlands-short-390000- homes-2023#:~:text=Dutch%20housing%20shortage%20rises%20from%20315.000%20to%203 90.000&text=In%20the%20report%2C%20the%20Delft, %2C%20at%20%E2%80%9Cjust%E2%80%9D%20315.000."
ヨーロッパ,オランダ,オランダ全土で大規模な人材不足,コロナウイルスで一気に人手不足が深刻化、ホームセンター、洋服店、スーパーマーケットとうの 小売業界では人手不足により中高年齢者、オランダの移民の方々で穴埋めする事態となってい る。お客様コールセンターなども人手不足により電話が繋がりにくく、お問合せはかなりAIに依存 している。,https://nltimes.nl/2023/07/09/large-staff-shortages-lingering-everywhere-netherlands https://www.iamexpat.nl/career/employment-news/dutch-labour-crisis-continues-122-jobs- every-100-unemployed
ヨーロッパ,オランダ,オランダ政府の汚染排出量の削減に畜産分野が対象化,オランダ政府は、2030年までに窒素排出量を半減にする計画を立てている。自動車、建設機械等 から排出される汚染も深刻だが、畜産から排泄されるアンモニアが大きな問題となっており、オ ランダ政府はこれに畜産分野でアンモニア排出量を70%削減するように求めている。 これに農家が大きな反発を呼び過激なデモが各地で発生。,https://monoist.itmedia.co.jp/mn/articles/2308/04/news030_2.html
ヨーロッパ,スイス,スイスの時計産業にみられる衰退。ロレックスでは最近億単位の盗難が発生したりと試練が続く。,スイスの時計産業は、デジタル化の進展とオンライン市場での競争激化、盗難・紛失の増加などにより市場低迷の課題に直面しており、伝統的な時計製造技術と地域の文化遺産の維持が重要な焦点となっている。,https://www.autoritedelaconcurrence.fr/fr/article/lautorite-sanctionne-rolex-dune-amende-de-91-600-000-eu-pour-avoir-interdit-ses
ヨーロッパ,スイス,スイス製薬会社に衰退の影,これから5年以内に医療テクノロジーは大きく進化し、今の医療体制は時代遅れになると言われている。現在市場での薬品不足がスイスでも大きな問題になっている。また現在では医療関係分野、製薬会社も人手不足に陥っている。政治面で何度も大きく直面している問題はこの人手不足を移民（EU近隣諸国からの移民）で補うかもしくは否かという点で、左派と右派が対立している。特に専門分野での労働者や、技術者が目立って不足している。この状況は、治療を受けている患者や医療関係分野の労働者たちにも大きな問題となっている。,https://www.swissinfo.ch/ger/big-pharma_was-steckt-hinter-dem-grossen-stellenabbau-bei-novartis-/47743082 https://www.swissinfo.ch/ger/nach-abspaltung-von-novartis-will-sandoz-generika-profitabler-machen/48895324
ヨーロッパ,スイス,スイスチーズ産業　衰退の陰,スイスのチーズ産業が外国産チーズとの価格競争と多様な消費者ニーズに直面し、国内のチーズ製造者や酪農家が経済的・文化的課題に苦しんでいる。スイス産チーズが売れなくなった事で、酪農家の数は、農家の2倍のペースで毎年減っている。,https://www.swissinfo.ch/ger/schweizer-kaese-tradition-unter-druck-/48826962
ヨーロッパ,スペイン,汚染水の除染、飲み水の確保,カタルーニャ州とアンダルシア州の住民は、雨が降りにくい気候で水不足に悩まされている。限りある水資源を活用するため、汚染水の除染、ペットボトル廃棄による環境汚染といった問題に直面している​。,https://ejecutivos.es/noticias/una-startup-espanola-patenta-la-primera-botella-portable-que-purifica-el-agua-con-ozono/
ヨーロッパ,スペイン,OECD内で最悪の失業率,スペインの若年層（特に25歳以下の女性）は、2008年の経済危機以降、OECD内で最悪の失業率に直面しており、その改善が急務である。,https://www.elmundo.es/economia/2023/04/13/6437d4a5fdddff99a48b4599.html
ヨーロッパ,スペイン,スペイン大都市での家賃の高騰,マドリードとバルセロナの住民は、観光客向けの賃貸が普通の賃貸を減らし、都市部人口増加に供給が追いつかず、過去10年で家賃が66.2%上昇したため、家賃高騰に直面している。,https://cincodias.elpais.com/economia/2023-12-28/el-precio-del-alquiler-en-espana-repunta-un-10-en-2023.html#
ヨーロッパ,スペイン,水資源の節約、土壌保護,スペインは、1980年代から極端な気温上昇、海面上昇、干ばつの増加、砂漠化（イベリア半島のアフリカ化）、熱波、熱波による山火事の増加、厳冬化などの気候変動に苦しんでおり、これに対応するため水の節約や土壌保護などの対策が求められている。,https://www.nationalgeographic.com.es/ciencia/el-cambio-climatico-secara-espana-_18111
ヨーロッパ,スペイン,スペイン独居老人問題,スペインの家族がいない65歳以上の高齢者は、若い世代との交流や、一時的な家族としての受け入れを通じた長期的な交流を求めている。,https://www.businessinsider.es/adopta-abuelo-startup-social-soledad-ancianos-750127
ヨーロッパ,デンマーク,冬の日照時間の短さによる冬季うつ病,冬の日照時間が短いデンマークでは人口の2％が冬季うつ病である。コペンハーゲンの25歳から54歳の成人は、冬の短い日照時間により冬季うつ病や季節に関連した精神的、身体的な負担を感じており、人口の約10％が症状を訴え、12％が大きな負担を感じている,https://www.dr.dk/nyheder/viden/kroppen/bliver-du-vinterdeprimeret-her-er-de-raad-der-rent-faktisk-kan-hjaelpe-dig
ヨーロッパ,デンマーク,若い女性の自殺数が増加傾向にあり、過去最悪の数を記録,デンマークでは年々若者の自殺未遂件数が増えており、特に20歳から24歳の若い女性の自殺未遂件数がその他の人口の2倍以上となっており、実際の自殺者数は2020年には前年の5人から17人と大幅に増加した,https://www.dr.dk/nyheder/indland/selvmord-blandt-unge-kvinder-er-det-hoejeste-i-20-aar-det-er-bekymrende-vi-har-saa
ヨーロッパ,デンマーク,農業における労働人口が減少傾向にあり、人手不足に直面している,デンマークでは農業従事者の57％が外国人労働者であるが、現在雇用の伸び率が減少傾向にありとりわけデンマーク人労働者は年々減少している。2030年には約2200人の熟練労働者が不足すると予測されている,https://landbrugsavisen.dk/dansk-landbrug-mangler-nu-b%C3%A5de-dansk-og-udenlandsk-arbejdskraft
ヨーロッパ,デンマーク,メンタルヘルスの問題が深刻で人口の10％が苦しんでいる,デンマークではメンタルヘルス疾患が深刻で、現在人口の10％が患っており、確認されている全ての病気の25％がメンタルヘルスに起因するものだ。特に16歳から24歳の若年層の約25％が精神疾患の病気に苦しんでいる。,https://cphpost.dk/2022-01-14/news/every-tenth-person-in-denmark-struggling-with-mental-health-issue/
ヨーロッパ,デンマーク,市役所職員の病欠日数が増加し、平均14日ごとに病欠で休んでいる,市役所職員の病気休暇の取得が増加しており、2022年の調査によると職員が平均14日ごとに病気休暇をとっていることが明らかになった。特に工業都市で有名なカルンボー市役所では12日ごとに職員が病気休暇をとっている,https://nyheder.tv2.dk/samfund/2023-06-18-sygefravaeret-i-kommunerne-stiger-her-er-det-saerligt-slemt
ヨーロッパ,デンマーク,人手不足による仕事量の増加でストレスに悩む従業員が増えている,デンマークの企業は経済成長に伴う労働市場の引き締まりから人手不足が深刻化し、63%が労働力不足を経験。これにより既存従業員の仕事量増加が原因で、職場のストレスやプレッシャーが増大している。,https://nyheder.tv2.dk/business/2023-08-18-manglende-arbejdskraft-har-sat-skub-i-bekymrende-udvikling-det-er-en-ond-cirkel
ヨーロッパ,ドイツ,プラスチック使用の削減及び、代替品の採用,ドイツでは、環境保護と資源の持続可能性に対する国民的な意識が高く、プラスチックを利用する企業はプラスチックの代替品採用や再利用可能な容器への転換といった課題に直面している。,https://www.bundesregierung.de/breg-de/schwerpunkte/klimaschutz/mehrweg-fuers-essen-to-go-1840830
ヨーロッパ,ロシア,日本からロシアへの国際送金の課題,ウクライナ侵攻後、ロシアに対する金融制裁でクレジットカード使用停止やSWIFT締め出しにより、在留邦人・在留外国人・ロシア国民は金融アクセスが困難になったことで、ロシアから撤退せず、ロシア国内で営業活動を続けている日本企業や、在留邦人、在留外国人は、活動継続のために海外からの資金を必要としている。,https://www3.nhk.or.jp/news/special/sakusakukeizai/20220303/473/
ヨーロッパ,ロシア,日本からロシアへの荷物発送の問題,ロシアからはFEDEXやDHLなど多くの国際輸送会社が撤退し、また日本郵便は船便も含めロシアへの荷物配送を完全に停止している。ロシアでは、モスクワやサンクト・ペテルブルグを中心に、アニメや伝統芸能をはじめとした日本文化を愛する良識あるロシア人も、若年層を中心に数多い。そうした人たちに、日本の文化的な物資を届ける方法が限りなく制限されている。,https://www.post.japanpost.jp/int/information/overview.html
ヨーロッパ,ロシア,ロシア商品の仕入れと日本への発送の問題,ウクライナ情勢の影響で、ロシアで販売している商品の仕入が難しくなった。ロシア国内で商品の数が限られたり、欠品となることも激増した。同時に、日本においても、ロシア商品の排斥の動きが広まってきた。また、目まぐるしく変わるロシアの国内法や、郵便ルールの制限により、ロシア商品を国外へ輸出しづらくなる傾向にもある。このことは特に、ロシアから商品を輸入し販売する小売店に大きな影響を及ぼしている。,https://www.tdb-di.com/special-planning-survey/sp20220516.php
ヨーロッパ,ロシア,ロシア国内におけるLGBTの問題,ロシア国内のLGBTら性的少数者は、ウクライナ侵攻後の政治的緊張の中で標的となり、集会の禁止やコミュニケーション制限により、基本的な医療や情報アクセスが困難になるなど、深刻な人権侵害に直面している。,https://jp.reuters.com/article/russia-rights-lgbt-idJPKBN2XM0AF/ または、https://news.ntv.co.jp/category/international/326493e0880f419987eaf02f1bffde3c
ヨーロッパ,ロシア,サンクト・ペテルブルグへの水道技術輸出の課題,ロシアのウクライナ侵攻後、大阪府からサンクトペテルブルグへの水道技術輸出計画が中断し、同地域は水質問題と厳しい冬季の気候に対応する新たな対策の検討が必要な状況に直面している。サンクト・ペテルブルグはモスクワに次ぐ国内大都市とはいえ、水道水は「コカ・コーラ」と揶揄されるほどだ。,https://www.city.osaka.lg.jp/kensetsu/page/0000490834.html
ヨーロッパ,ロシア,日本の高品質な生理・介護・ベビー用品が入手困難に,ウクライナ侵攻の影響で欧米のドラッグストア製品が消え、特に品質の高い日本製おむつなどが高額輸入品となり、実質価格が2-3倍に跳ね上がるなど、生活必需品の入手困難が消費者に大きな負担をかけている。,https://www.nikkei.com/article/DGXZQOUC11BZE0R10C22A3000000/
ヨーロッパ,ハンガリー,小規模農家の課題,ハンガリーの小規模農家は、技術や市場アクセスの不足により経済的な不安に直面し、その結果、地域経済も低迷している。,https://core.ac.uk/download/pdf/144445224.pdf
ヨーロッパ,セルビア,農業労働者の劣悪な労働条件と低収入,"セルビアの農業農村地域では、農業労働者は劣悪な労働条件と低い収入に直面している。政府が支援提供を試みてはいるが、異常気象による自然災害と若者の農業離れにより、彼らの生活向上が難しい状況である。 ",https://www.slobodnaevropa.org/a/galerija-protest-poljoprivrednika-srbija/32683006.html
ヨーロッパ,セルビア,高い失業率,"セルビアの若者と低所得者層が、国内全域で高い失業率に直面している。政府と地方自治体が支援金を提供し、企業が対策を模索しているが、経済的制約により改善が難しい状況である。 ",https://www.blic.rs/biznis/pomoc-drzave/ako-ostanete-bez-posla-imate-pravo-na-pomoc-drzave-i-do-51905-dinara-mesecno-ovo-su/dg84q99
ヨーロッパ,セルビア,教育資源の不足と低報酬,"セルビアの教育関連職は、国内全域において、教育資源の不足と低い報酬に直面している。教育省と学校組織が改善を試みているが、予算制約と教育制度の遅れにより、教育の質向上が困難な状況にある。 ","https://www.euronews.rs/srbija/drustvo/76939/zacarani-krug-srpske-prosvete-tuce-na-casu-ponizavanje-nastavnika-nezadovoljni-roditelji-a-znanje-dece-sve-upitnije/vest  "
ヨーロッパ,フランス,壊れた家電の廃棄問題,フランスは家電の修理がかなり高価で、時間もかかるため、中・低所得層の家庭では多数の家電が廃棄されています。,"https://www.ordif.fr/fileadmin/DataStorage/user_upload/Notice_REP_REP_DEEE_.pdf, https://www.sos-accessoire.com/?msclkid=31b6e7de08b014f383b5827bded37c38"
ヨーロッパ,フランス,移民層における教育格差,フランスでは、移民を含む一部の家庭の子供が、親の教育への無関心により高等教育へのアクセス機会を失っている問題があります。,https://www.nomadeducation.fr/nos-engagements/reussite-scolaire
ヨーロッパ,フランス,空室率に悩まされるホテル経営者,観光大国フランスには多数のホテルがあることから、ホテル運営事業者は慢性的に高い空室率に悩まされています。,https://www.dayuse.fr/
ヨーロッパ,ラトビア,風力発電および自国のエネルギー源の確保,ラトビアのエネルギー企業は、ロシアのエネルギー源、特に天然ガスと電力への依存を削減する課題に直面しています。ウクライナ侵攻を受け、信頼性が高く経済的に実現可能なグリーン電力への転換が急務となっています。," https://eng.lsm.lv/article/economy/economy/latvias-dependency-on-russian-energy-is-overstated-says-em.a446689/ https://www.eiu.com/n/baltic-states-ramp-up-investment-in-energy-sector/"
ヨーロッパ,ラトビア,ドローンビジネスの技術的課題、安全規制や運用コスト,ラトビアのドローン技術企業は、ドローンを用いた風力タービンのメンテナンスや建設データ収集にチャレンジしていますが、精密な飛行制御やデータ分析の精度向上など技術的課題と、安全規制や運用コストの最適化といった運用の課題に直面しています。,https://www.awex-export.be/files/library/Infos-sectorielles/PECO/2017/LETTONIE/Fiche-Drones-Latvia-2016.pdf
ヨーロッパ,ラトビア,効率的かつ持続可能なリサイクルシステムの構築,ラトビアの小売業者は、飲料包装のリサイクル率を向上させるためにデポジット制度を導入しましたが、適切な回収と処理システムの確立や消費者の参加意識の向上など、効率的かつ持続可能なリサイクルシステムの構築が課題となっています。,https://eng.lsm.lv/article/society/environment/latvias-deposit-system-101-what-where-and-how.a441369/
ヨーロッパ,ラトビア,少子高齢化,ラトビアは、少子高齢化により、労働力不足と人口減少という深刻な課題に直面している。少子化に加え、若年層が高収入を求めて他国に移住する傾向がある点も課題である。,https://eng.lsm.lv/article/society/society/205--of-latvian-population-was-aged-65-or-over-in-2020.a423047/
